id,Year,Title,Abstract,include_stage5,reason_stage5,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage5
J5341,2024,"Real-World Evaluation of the Feasibility, Acceptability and Safety of a Remote, Self-Management Parkinson's Disease Care Pathway: A Healthcare Improvement Initiative","Background: There is significant unmet need for effective and efficiently delivered care for people with Parkinson's disease (PwP). We undertook a service improvement initiative to co-develop and implement a new care pathway, Home Based Care (HBC), based on supported self-management, remote monitoring and the ability to trigger a healthcare contact when needed. Objective(s): To evaluate feasibility, acceptability and safety of Home Based Care. Method(s): We evaluated data from the first 100 patients on HBC for 6 months. Patient monitoring, performed at baseline and 6-monthly, comprised motor (MDS-UPDRS II and accelerometer), non-motor (NMSQ, PDSS-2, HADS) and quality of life (PDQ) measures. Care quality was audited against Parkinson's UK national audit standards. Process measures captured feasibility. Acceptability was assessed using a mixed-methods approach comprising questionnaires and semi-structured interviews. Result(s): Between October 2019 and January 2021, 108 PwP were enrolled onto HBC, with data from 100 being available at 6 months. Over 90% of all questionnaires were returned, 97% were complete or had < 3 missing items. Reporting and communications occurred within agreed timeframes. Compared with baseline, after 6m on HBC, PD symptoms were stable; more PwP felt listened to (90% vs. 79%) and able to seek help (79% vs. 68%). HBC met 93% of national audit criteria. Key themes from the interviews included autonomy and empowerment. Conclusion(s): We have demonstrated acceptability, feasibility and safety of our novel remotely delivered Parkinson's care pathway. Ensuring scalability will widen its reach and realize its benefits for underserved communities, enabling formal comparisons with standard care and cost-effectiveness evaluation. Copyright ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2024 - The authors. Published by IOS Press.",FALSE,No explicit comparator or numeric pre/post deltas,FALSE,Unknown,TRUE,"['clinical', 'safety', 'pro']",0.8
J5902,2025,Syrian refugee and diaspora healthcare professionals: Case studies from the eastern mediterranean and European regions,"Thousands of Syrian healthcare professionals have been forced to leave Syria since the onset of the uprisings in March 2011 and subsequent descent into conflict. Initially, many stayed in the eastern mediterranean region; however, as the conflict became increasingly protracted and employment policies for Healthcare Professionals (HCPs) became increasingly restrictive, some moved elsewhere, particularly to Germany and the United Kingdom, both of which have aimed to capitalise on both refugee and diaspora HCPs to support human resources gaps in their health systems. Our aim is to explore the different policy practices towards Syrian refugee and diaspora HCPs in the eastern mediterranean and European regions. Method(s): We completed a narrative literature review and held a closed, virtual workshop in November 2022 in which 45 participants, most of whom had lived experience in the different refugee hosting contexts, participated. This allowed us to probe the primary themes arising from the literature review and the authors' observations and present our findings as case studies. Result(s): We explore through case studies from countries near Syria (Turkey, Lebanon, Jordan, Egypt) and in Europe (Germany, UK) different policies which support or restrict entry into the health workforce. For host countries, those which implement policies that support retraining, accreditation and entry into the workforce have the potential for sustained and cost-effective benefit to their health systems; the impact of this on the HCPs and health system needs further exploration. Without such policies, Syrian HCPs are forced to work in the informal health sector such as in Lebanon or Egypt, leading to potential exploitation and security risks. Discussion(s): Now is an important opportunity to support Syrian and other refugee HCPs who have been forced to leave their homes to capitalise on their skills to explore the impacts of potentially effective policies and interventions. Such policies that aim to invest in refugee HCPs' skills, further develop their aptitudes, and potentially establish a connection between them and their homeland in a mutually beneficial manner for both health systems in exile and in their homeland. Nonetheless, this topic still has large research gaps and remains in need of urgent research and data, particularly in view of the fall of the Syrian regime in December 2024 and its potential impacts. Copyright ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2024",FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,['cost'],0.7
J3114,2022,Evaluating the impact of a digital leadership programme on national digital priorities: A mixed methods study,"Objectives This study aimed to determine the impact of the United Kingdom's National Health Service Digital Academy (NHSDA) Digital Health Leadership course on high-level recommendations in digital preparedness and the development of a proficient leadership to oversee digital transformation, which has been a longstanding priority within the NHS. Design A mixed methods study incorporating an online questionnaire, in-depth interviews and focus groups that were then analysed through a thematic analysis, underpinned by a constructivist approach. Settings An online mixed methods study of a defined cohort of participants who had completed the NHSDA course. Participants 26 participants were recruited to the study, of whom 50% were clinicians, 26.9% in management and 19.2% in data science. All had completed the 2-year NHSDA programme in Digital Health Leadership more than 6 months prior. Results Interviews and focus groups elicited two key areas of impact of the course: loco-regional digitisation and the development of a network of change agents. The dissertation project had direct effects on local digital transformation efforts. Most of these projects focused on clinician (11.7%) or service user (10.3%) engagement, as oppose to de novo digital processes (9.4%). The development of a network of digital leaders has facilitated communication between organisations and improved the efficiency of the national digital infrastructure. Conclusions A bespoke course incorporating a dissertation of practice model for digital health leaders can have broader impact for the attainment of digital priorities. This includes helping trusts to successfully adopt digital solutions, as well as fostering shared organisational learning. These influences, however, are mediated by resource and cultural barriers, which continue to hinder transformation efforts. Copyright ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© Author(s) (or their employer(s)) 2022.",FALSE,No comparator or primary outcomes detected,FALSE,Unknown,FALSE,[],0.9
J3121,2022,Preoperative Factors and Patient-Reported Outcomes After Total Hip Arthroplasty: Multivariable Prediction Modeling,"Background: Although total hip arthroplasty (THA) has been established as a cost-effective intervention, some patients experience ongoing pain and dissatisfaction. There is interest in predicting postoperative outcomes based on preoperative data, but the relative contribution of different preoperative factors is unclear. The study's aim was to develop multivariable prediction models for the assessment of patient-reported outcomes. Method(s): Registry data on 1412 patients undergoing THA for osteoarthritis at two hospitals between 2013 and 2018 was used. Potential predictors included age, sex, body mass index, spoken language, education level, previous THA, American Society of Anaesthesiologists (ASA) score, lower back pain, depression/anxiety, other lower limb arthritis, number of other comorbidities, the preoperative expectation of pain and function, EuroQol Visual Analogue Scale (EQ-VAS) and preoperative OHS. Radiographic scores were also used: joint space narrowing (JSN), osteophytes, sclerosis, and an overall grade based on the Kellgren-Lawrence (KL) classification. Outcomes assessed were the patient-rated improvement, satisfaction, and OHS at six months. Result(s): JSN or overall KL scores were the most important predictors (P <.001) for all outcomes, with better radiographic scores associated with worse outcomes. Other predictors associated with poorer outcomes were lower back pain and lower expectation (predicting poor improvement), lower education and higher ASA (predicting lower satisfaction) and younger age, female sex, non-English speakers, lower preoperative EQ-VAS, lower education, back pain, and anxiety/depression (predicting lower OHS). Conclusion(s): Preoperative radiological scores are an important predictor of patient-reported outcomes at six months postoperatively. Understanding the relative strengths and significance of different factors in predicting outcomes will help the clinician and patient decision-making for THA. Copyright ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2022 Elsevier Inc.",FALSE,No comparator group detected,FALSE,Unknown,TRUE,"['clinical', 'pro']",0.9
J4914,2024,Brick by Brick: The Foundations of Management Practices Needed to Reach Net Zero in Nhs Hospitals' Estates & Facilities,"Introduction The World Health Organisation (WHO) has declared that 'climate change is the single biggest health threat facing humanity'. Paradoxically, healthcare organisations are significant contributors to this event. Whilst the NHS has committed to becoming the first healthcare service in the world to reach net-zero by 2040, it contributes to 4-5% of the UK's total emissions (BMA, 2023). Of all NHS emissions, 15% can be attributed to its Estates & Facilities (E&F), only second to medicine. However, this problem is largely underrepresented in the literature, particularly concerning the role of management in realising net zero. This oversight led us to our research, which aimed to identify the barriers and facilitators for management to achieve net zero in NHS Hospitals' E&F. We would like to showcase the intricate challenges and opportunities we have found in the intersection of Healthcare Management and sustainability. Aims and objectives of the research project or activity Our main aims and objectives were as follows: Aim 1: To identify the barriers & facilitators for management to achieve net-zero in NHS E&F Objective 1: Carry out a narrative literature review (NLR) to identify the general barriers & facilitators in both management and E&F to achieve net zero in NHS Hospitals' E&F Objective 2: Carry out semi-structured interviews (SSI) to identify the specific barriers & facilitators for Estates & Facilities Management (EFM), from the perspectives of sustainability leads, to achieve net zero in NHS Hospitals' E&F Aim 2: To help develop recommendations for management practice to achieve net zero in NHS Hospitals' E&F Objective 1: To synthesise results from the SSIs, to help develop recommendations for management practice from the perspectives of sustainability leads, to achieve net zero in NHS Hospitals' E&F Objective 2: Validate proposed recommendations, either by implementing a minimum viable product or engaging with relevant stakeholders to obtain their feedback. Method or approach We conducted a narrative literature review to explore the considerations for management to achieve net-zero in NHS hospitals' Estates and Facilities. Key gaps identified in the literature led to the following focused research question: 'How Can Sustainability Leads Adapt Their Management Practices to Achieve Net-Zero in NHS Hospital's Estates & Facilities?' Specifically, we set out to identify the barriers and facilitators for sustainability leads to achieve net-zero and help us create management practices recommendations through semistructured interviews. All participants held sustainability leadership positions in E&F either at the Trust, ICS or National level. 21 interviews were conducted, 8 of which were notable experts. Including Fiona Daly, National Deputy Director of Estates for NHS England. Six open-ended questions were discussed exploring management practices for NHS Hospital E&F net-zero goals. Thematic analysis of the transcripts was then carried out, following Braun and Clark's six-step framework. Themes, meta-themes, and sub-themes were identified. Findings Following our NLR and interviews, barriers included Engagement, Data, Estate Operations, Hierarchical Management and Funding. Funding was the most salient barrier we found. Some notable subthemes: Return on investment: This may be exacerbated by competing priorities faced by the board and the perception that sustainability initiatives have a low Return on investment (ROI) Inadequate Business Cases: Complicating things further, Interviewees highlighted that inadequate business plans produced by managers can cause the board to reject sustainability proposals. Facilitators included Engagement, Hierarchical management, Estate Operations, Data, Policy, Training and Development. Some key themes: Engagement needs to be addressed at both the board and staff level. Value Proposition: To engage the board and get buy-in, the value proposition of a project needs to be aligned with stakeholder values Working Groups: A shared collective goal, facilitated by working groups, can elp to engage clinical personnel and align values. Training and development Mandatory training and development are necessary to bridge the knowledge gap in sustainability and drive awareness. This can be done by: Up-skilling staff, including clinicians, to become greener champions Data There is a need to optimise the collection of high-quality data with integrated net-zero metrics. The analysis and handling of data should be done by competent personnel. Key messages We created the Foundation Model of Estates and Facilities Management from these barriers and facilitators. Our novel model illustrates the seven key meta-themes identified in the discussion and their interactions downward and bottom-up. Ultimately, these findings fill a gap in the literature, highlighting the current barriers and facilitators experienced by Sustainability Leads in their efforts to decarbonise their Hospital E&F. Specifically, the lowermost 'foundational' themes, Engagement, T&D, and Data, are the most influential in driving decarbonisation efforts in Estate Operations. These themes illustrate that the NHS needs a transformational change to decarbonise its hospital's E&F. We propose a solution to one of the problems identified: Problem 1: HCPs must be aware of sustainability projects within E&F. Our solution: Using co-design and marketing principles, we developed an advert to raise staff awareness. Our advert strongly focuses on values, education, empowerment, and community creation. HCPs are educated on the need to reach net-zero and empowered by reinforcing the small actions they can do to help. Moreover, there is a strong emphasis on the community through 'acting together' for 'our NHS'.",FALSE,No comparator or primary outcomes detected,FALSE,Unknown,FALSE,[],0.9
J4917,2024,NHS Tertiary Centre Experience with Bariatric Tourism; A Call for National Registry,"Background: Bariatric surgery has demonstrated notable efficacy and is becoming an increasingly popular practice. Nonetheless, patients often opt for bariatric tourism due to the unaffordability of bariatric procedures or the lengthy waiting lists. The postoperative care for such patients not only imposes financial burdens on a different health system, necessitating costly interventions for complex cases but also affects the allocation of resources for patients receiving care in the public health services. A national guidance platform and registry are required to measure the impact of bariatric tourism on the modern NHS and plan future resource allocation. Method(s): This is a retrospective review of patients referred to one of the bariatric units in the United Kingdom for complications following bariatric procedures abroad. Patient demographics, bariatric intervention, presenting complications, length of hospital stay and management received were recorded. Result(s): Between 2022 and 2024, our unit admitted nine patients. Eight had sleeve gastrectomy in Turkey, and one had a gastric balloon in Thailand. In the sleeve group, five patients had intractable vomiting, one had small bowel ischemia, one leaked, and one had reactive hypoglycemia. The patient with the gastric balloon had vomiting and abdominal pain, leading to balloon removal. Three sleeve patients had a conversion to Roux-en-Y bypass, one is under investigation, and one is awaiting bypass surgery, one required three surgeries for small bowel ischemia, and one with a leak was treated with a pigtail and gastric stent. Conclusion(s): Medical tourism for bariatric procedures is an appealing option for obese patients due to its affordability and shorter wait times. Patients typically receive brief pre-operative preparation and education in addition to a limited post-operative care. However, managing complex bariatric cases is expensive, necessitates extended hospital stays and nutritional and emotional support, and can only be done in specialised centres. It's important to create a national bariatric surgery guidance platform providing recognised centre details internationally and a national registry of bariatric tourism patients to assess the impact on the healthcare system and to plan for future resource allocation.",FALSE,No comparator group detected,FALSE,Unknown,TRUE,['clinical'],0.9
J2287,2021,Innovation Pathways in the NHS: An Introductory Review,"Healthcare as an industry is recognised as one of the most innovative. Despite heavy regulation, there is substantial scope for new technologies and care models to not only boost patient outcomes but to do so at reduced cost to healthcare systems and consumers. Promoting innovation within national health systems such as the National Health Service (NHS) in the United Kingdom (UK) has been set as a key target for health care professionals and policy makers. However, while the UK has a world-class biomedical research industry, several reports in the last twenty years have highlighted the difficulties faced by the NHS in encouraging and adopting innovations, with the journey from idea to implementation of health technology often taking years and being very expensive, with a high failure rate. This has led to the establishment of several innovation pathways within and around the NHS, to encourage the invention, development and implementation of cost-effective technologies that improve health care delivery. These pathways span local, regional and national health infrastructure. They operate at different stages of the innovation pipeline, with their scope and work defined by location, technology area or industry sector, based on the specific problem identified when they were set up. In this introductory review, we outline each of the major innovation pathways operating at local, regional and national levels across the NHS, including their history, governance, operating procedures and areas of expertise. The extent to which innovation pathways address current challenges faced by innovators is discussed, as well as areas for improvement and future study.",FALSE,No explicit or implicit comparator with numeric outcomes,FALSE,Unknown,TRUE,['cost'],0.8
J4912,2024,Understanding factors influencing the implementation of medicine risk communications by healthcare professionals in clinical practice: a systematic review using the Theoretical Domains Framework,"BACKGROUND: Adverse drug reactions (ADRs) are known to cause hospitalisation, longer hospital stays, as well as higher healthcare costs and mortality. Unrecognised ADRs are anticipated throughout the medicine lifecycle as, before the medicine reaches the market, clinical trials are conducted for a short period on a limited number of people, who might underrepresent the actual population. After the medicine reaches the market, emergent information that could affect its benefit-to-risk balance is usually shared by regulatory agencies and pharmaceutical companies through medicine risk communications. Medicines risk communications aim to prevent harm to patients by targeting their behaviour, knowledge, and attitudes, as well as those of health care professionals (HCPs). Despite their important role in translating these communications into their clinical practice, HCPs do not always adhere to the recommendations provided in risk communications. Measurement of medicine risk communications' effectiveness does not necessarily guarantee their implementation, cost-effectiveness, or transferability in real-world situations. To enhance the impact of drug regulatory interventions, implementation science has been encouraged. However, implementation science was not previously used to identify factors affecting HCPs' implementation of medicines risk communications. A recently widely used framework is the Theoretical Domain Framework (TDF). In this systematic review, the TDF was employed to categorise a range of different factors that could affect HCPs' implementation of medicine risk communications within their clinical contexts. METHOD(S): The search strategy involved a set of predefined search terms and fifteen databases, such as EMBASE, PubMed, Web of Science and CINAHL PLUS. Searches were conducted from April to May 2018 and updated in June 2021 using PubMed, Scopus, and CINAHL PLUS. A second reviewer independently conducted the screening process of the initial search. The total number of records screened was 10,475. A study was included if it reported any factors influencing HCPs' uptake of medicine risk communications. Only studies with English or Arabic abstracts were included. Those studies that did not include pharmacovigilance-related medicine risk communications were excluded. Additionally, studies only assessing HCPs' practice or evaluating the effectiveness of risk minimisation measures were excluded. Likewise, studies related to occupational hazards, case reports, interventional studies, and studies not involving HCPs were excluded. In case the published information was insufficient to decide whether to include or exclude a study, the authors were contacted. Furthermore, the authors of seven eligible abstracts were contacted for full-text articles. The mixed method appraisal tool (MMAT) was used to evaluate the quality of the included studies. All included studies were assessed by one reviewer, and a total of 16 studies were assessed by two reviewers independently. Disagreements were resolved through discussion. Using thematic analysis and concept mapping, a narrative synthesis was performed, followed by a critical reflection on the synthesis process. This review presents the results of the concept mapping, which involved matching the identified factors to the TDF. RESULT(S): A total of 28 studies were included. Eleven domains influenced HCPs' implementation of medicine risk communications. A large number of studies included factors related to the Knowledge"" domain (n = 23), followed by ""Beliefs about Consequences"" (n = 13), ""Memory, Attention and Decision Processes"" (n = 12) and ""Environmental Context and Resources"" domains (n = 12). Seven studies reported ""social influences"" and six studies included factors relating to ""Goals"", followed by four studies involving factors related to ""Social/Professional Role and Identity"". Underrepresented domains included ""Emotion"" (n = 2), ""Beliefs about Capabilities"" (n = 2), ""Behavioural Regulation"" (n = 1), and ""Reinforcement"" (n = 1). On the other hand, none of the identified factors were related to the ""Skills"", ""Optimism"", or ""Intentions"" domains. Except for ""Beliefs about Consequences"", most studies contributing to the other three most commonly reported domains (""Knowledge""; ""Environmental Context and Resources""; and ""Memory, Attention and Decision Processes"") scored low (1 or 2 out of 5) on the MMAT quality assessment. Moreover, the same number of studies (n = 5) contributing to the ""Beliefs about Consequences"" domain had low (1 or 2 out of 5), and intermediate (3 out of 5) scores on the MMAT. CONCLUSION(S): Medicines risk communications are important tools for disseminating information that may influence the benefit-to-risk balance of medicines. Even though HCPs are required to implement the recommendations of these communications, they do not always adhere to them. Using the TDF enabled the categorization of the range of factors that affect whether or not HCPs implement the recommendations provided in a medicine risk communication. However, most of these factors relate to four domains only (""Knowledge""; ""Beliefs about Consequences""; ""Memory, Attention and Decision Processes""; and ""Environmental Context and Resources""). Additionally, most of the studies contributing to three of these four domains were of low quality. Future research should focus on using implementation science to identify target behaviours for actionable medicine risk communications. Regulators should use such science to develop cost-effective strategies for improving the implementation of medicines risk communication by HCPs. Crown Copyright ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2023. Published by Elsevier Inc. All rights reserved.""",FALSE,No comparator or primary outcomes detected,FALSE,Unknown,FALSE,[],0.8
J1811,2020,Alcohol misuse and patient outcomes following admission to the intensive care unit at royal preston hospital-are we making good use of medical resources?,"A number of factors have led to the increased prevalence of alcohol misuse in the UK for the past few decades (1-3). Alcohol-related harm is now a leading cause of death (3,4), and has become a significant burden, especially to our healthcare system (1). A small number of these patients require admission to the intensive care unit (ICU) but their prognosis remains uncertain. There is inconsistent use of ICU regarding such individuals, which have inevitably impacted on the quality of patient care in this cohort. In this retrospective audit study, we attempted to a) investigate the on-unit and long-term survival of patients who had been admitted to the ICU at Royal Preston Hospital as a result of alcohol misuse; b) explore various factors which might have contributed to such outcomes; c) discuss, in the context of the wider society, in order to explore the ethical implications of admitting such patients to the ICU, and how the decision making will inevitably impact on efficacy of treatment and resource allocation. We reviewed 79 patients who were admitted to the ICU of Royal Preston Hospital following alcoholrelated harm against their survival outcomes. Receiver Operating Characteristic Curves, logistical Regression and Kaplan-Meier Survival Curves were used to determine the association between patient markers and their prognoses. These admissions were shown to be costly (approximately 900,432 over the 18-month period), and generally carried a poor prognosis (mortality rate=38%). Child-Pugh scores and the Model for End-Stage Liver Disease (MELD) were associated with good prognostic power. In addition, several factors were demonstrated to be associated with worse survival outcomes: female gender (odds ratio=6.67, p=0.0002), hypoglycaemia (odds ratio=4.33, p=0.0044), hypothermia (odds ratio=4.90, p=0.0048), raised lactate (odds ratio= 7.25, p=0.0004), raised alkaline phosphatase (ALP, odds ratio=4.03, p=0.0078). Many patients from this cohort would have benefited from end of life care, of which the stronger focus on symptom relief is in agreement with the principle of beneficence and non-maleficence. We noted that pre-agreed care plans that reflects individual patients' realistic prognoses would have played an important role in guiding such admissions to protect their autonomy. The question of resource allocation and social justice has become more important amid deteriorating national performance in cancer treatment (5). Elective cancer operations required shorter ICU stays (p=0.0028) and came with a possible lower mortality rate (p=0.5505). The bed days from alcohol-related admissions could have in theory accommodated 108 elective cancer surgeries per annum. Preventative strategies and personal lifestyle choice alterations are urgently needed to combat alcoholrelated harm. For the unfortunate patients who have become seriously ill from alcohol misuse, Child-Pugh scores, MELD scores, female gender, hypoglycaemia, hypothermia, raised lactate, raised alkaline phosphatase are found to be associated with adverse outcomes after admission to the intensive care unit.",FALSE,Audit study without clear comparator group,FALSE,Unknown,TRUE,"['clinical', 'safety', 'utilization']",0.8
J478,2019,Uptake of heart failure guidelines in the management of acute heart failure admissions with a focus on NT-proBNP: A UK tertiary centre experience,"Introduction Brain natriuretic peptides (BNP) are peptides released mainly from the cardiac ventricles and have diuretic, natriuretic as well as hypotensive effects. NT-proBNP, derived from proBNP, and is increased in heart failure (HF) patients. In the acute phase, NT-proBNP measurement can improve the diagnostic accuracy of HF in patients presenting with dyspnoea. Furthermore, NT-proBNP levels also correlate with prognosis in acute HF admissions. The use of NT-proBNP has also been shown to be cost effective with reduction in hospitalisations. UK NICE guidelines from 2018 as well as ESC guidelines on HF have recommended that all patients admitted with suspected HF should have NT-proBNP measured. Purpose We investigated the proportion of patients presenting with acute HF to our hospital who had an NT-proBNP measured on admission. Our target was that 100% of patients should have this measured. Methods A standardised pro-forma for data collection was used to collect data about our acute heart failure admissions from 4th January 2018 until 27th November 2018. Basic demographics, NT-proBNP levels, echo data and discharge diagnoses were recorded. Our IT coding data was fltered to include patients who had heart failure"" as their primary discharge diagnosis. Results 113 patients were found to have a primary diagnosis of HF on their discharge summary. The majority of patients were males (66%) with a mean age of 62 years old. Our cohort was an ""all-comer"" population and included patients with ischaemic heart disease (39%), hypertension (32%), diabetes (35%) and AF (32%). 23% of our patients had a diagnosis of CKD. 35 patients (31%) did not have an NT proBNP level measured despite ""heart failure"" being the primary discharge diagnosis. 7 patients without NT-proBNP measurement did not have a prior diagnosis of HF before admission. It is therefore possible that there is a lack of knowledge about the up to date guidelines on the management of HF and also, more specifcally, about lack of knowledge about prognostic value of NT-proBNP in patients already known to have HFAs a result of this study, we will implement teaching programmes on updates about HF management for our non-cardiologist colleagues. Our HF specialist nurses will also play a vital role in education on the wards. We will also be collaborating with our IT department to design an alert which prompts the clinician about the guidelines about NT-proBNP measurement as well as alerting our HF team directly if there are patients with very high NT-proBNP levels in the hospital. Conclusion There is suboptimal adherence to national and international HF guidelines, with one third of our acute HF patients not having their NT-proBNP measured on admission. This issue has major clinical and cost-effectiveness implications for our patients and we will be implementing enhanced education measures and IT collaborations to improve adherence to the HF guidelines in our hospital.""",FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['clinical', 'cost', 'utilization']",0.8
