id,Year,Title,Abstract
J545,2019,"Estimating the cost-effectiveness of salt reformulation and increasing access to leisure centres in England, with PRIMEtime CE model validation using the AdViSHE tool","BACKGROUND: PRIMEtime CE is a multistate life table model that can directly compare the cost effectiveness of public health interventions affecting diet and physical activity levels, helping to inform decisions about how to spend finite resources. This paper estimates the costs and health outcomes in England of two scenarios: reformulating salt and expanding subsidised access to leisure centres. The results are used to help validate PRIMEtime CE, following the steps outlined in the Assessment of the Validation Status of Health-Economic decision models (AdViSHE) tool. METHOD(S): The PRIMEtime CE model estimates the difference in quality adjusted life years (QALYs) and difference in NHS and social care costs of modelled interventions compared with doing nothing. The salt reformulation scenario models how salt consumption would change if food producers met the 2017 UK Food Standards Agency salt reformulation targets. The leisure centre scenario models change in physical activity levels if the Birmingham Be Active scheme (where swimming pools and gym access is free to residents during defined periods) was rolled out across England. The AdViSHE tool was developed by health economic modellers and divides model validation into five parts: validation of the conceptual model, input data validation, validation of computerised model, operational validation, and other validation techniques. PRIMEtime CE is discussed in relation to each part. RESULT(S): Salt reformulation was dominant compared with doing nothing, and had a 10-year return on investment of 1.44 (0.50 to 2.94) for every 1 spent. By contrast, over 10 years the Be Active expansion would cost 727,000 (514,000 to 1,064,000) per QALY. PRIMEtime CE has good face validity of its conceptual model and has robust input data. Cross-validation produces mixed results and shows the impact of model scope, input parameters, and model structure on cost-per-QALY estimates. CONCLUSION(S): This paper illustrates how PRIMEtime CE can be used to compare the cost-effectiveness of two different public health measures affecting diet and physical activity levels. The AdViSHE tool helps to validate PRIMEtime CE, identifies some of the key drivers of model estimates, and highlights the challenges of externally validating public health economic models against independent data."
J547,2019,"Individualised screening for diabetic retinopathy: The ISDR study-a randomised controlled trial of safety, efficacy, and cost-effectiveness","Background: Varying the intervals in retinopathy screening informed by personal risk offers reallocation of resources to better target high risk groups and address the increasing prevalence of diabetes. However, safety data especially on extended intervals is minimal. Aim(s): To evaluate the safety, efficacy and cost effectiveness (CE) of individualized variable-interval risk-based screening in a population setting compared to usual care. Method(s): Masked 2 arm, parallel assignment, equivalence RCT (largest to date in screening) with independent trials unit monitoring in people with diabetes aged >=12 years attending screening in a single English program. Randomization was 1:1 to individualized screening (active group; 6, 12 or 24 months for high, medium and low risk) determined by a risk calculation engine using real-time local demographic, retinal and clinical data, compared with annual screening (control). CE analysis measuring NHS and societal costs took a 2-year time horizon. Finding(s): 4534 participants entered the study-after withdrawals/loss to follow-up: active 2097; control 2224. Attendance rates at first follow-up visit (primary outcome, safety) were equivalent (per protocol analysis, 5% margin): active 83.6% control 84.7% (difference 1.0, 90% CI-0.8, 2.9). STDR detection rates were non-inferior (1.5% margin): active 1.43% control 1.71% (difference-0.28, CI-0.93, 0.36). Quality of life (EQ5D5L, HUI3) was not significantly different between the groups. Incremental cost saving per person was 18.75 (NHS cost) rising to 49.96 with societal costs. A 39.3% reduction in number of appointments was seen. Conclusion(s): All parties involved in diabetes care can be reassured that extended and personalized screening intervals can safely be introduced in established screening program. Scale-up with further validation outside a research setting is recommended. Views expressed are solely those of the authors."
J554,2019,Early supported discharge for patients with febrile neutropenia - experience at a large district hospital in the UK,"Neutropenic sepsis can be life threatening, with mortality 2-21%. The heterogeneity of patients referred with suspected neutropenic sepsis"" has led to strategies being developed to risk-stratify patients and identify those with a low risk of septic complications that could be managed in the outpatient setting, such as The Multinational Association for Supportive Care in Cancer score (MASCC). Outcomes for patients referred with suspected neutropenic sepsis were assessed before and after use of MASCC guided early-supported discharge. 50/123 (41%) patients over 24 months were eligible for early-supported discharge. 26/50 patients had same-day discharge, 14 had overnight admission, 8 stayed 2 nights and 2 stayed 3 nights. Patients received on average 2 follow-up telephone consultations. There were 5 readmissions (10%) and no adverse events. In comparison group; 8 patients over 3-months would have been suitable, potentially saving 40 bed-days. This shows MASCC guided early-supported discharge is safe and cost-effective. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Rila Publications Ltd."""
J571,2019,Alternative community-based models of care for young people with anorexia nervosa: the CostED national surveillance study,"<b>BACKGROUND</b>: Evidence suggests that investing in specialist eating disorders services for young people with anorexia nervosa could have important implications for the NHS, with the potential to improve health outcomes and reduce costs through reductions in the number and length of hospital admissions.
<b>OBJECTIVES</b>: The primary objectives were to evaluate the costs and cost-effectiveness of alternative community-based models of service provision for young people with anorexia nervosa and to model the impact of potential changes to the provision of specialist services.
<b>DESIGN</b>: Observational surveillance study using the Child and Adolescent Psychiatry Surveillance System.
<b>SETTING</b>: Community-based secondary or tertiary child and adolescent mental health services (CAMHS) in the UK and the Republic of Ireland.
<b>PARTICIPANTS</b>: A total of 298 young people aged 8-17 years in contact with CAMHS for a first episode of anorexia nervosa in accordance with Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, diagnostic criteria.
<b>INTERVENTIONS</b>: Community-based specialist eating disorders services and generic CAMHS.
<b>MAIN OUTCOME MEASURES</b>: Children's Global Assessment Scale (CGAS) score (primary outcome) and percentage of median expected body mass index (BMI) for age and sex (%mBMI) (secondary outcome) were assessed at baseline and at 6 and 12 months.
<b>DATA SOURCES</b>: Data were collected by clinicians from clinical records.
<b>RESULTS</b>: Total costs incurred by young people initially assessed in specialist eating disorders services were not significantly different from those incurred by young people initially assessed in generic CAMHS. However, adjustment for baseline covariates resulted in observed differences favouring specialist services (costs were lower, on average) because of the significantly poorer clinical status of the specialist group at baseline. At the 6-month follow-up, mean %mBMI was significantly higher in the specialist group, but no other significant differences in outcomes were evident. Cost-effectiveness analyses suggest that initial assessment in a specialist service has a higher probability of being cost-effective than initial assessment in generic CAMHS, as determined by CGAS score and %mBMI. However, no firm conclusion can be drawn without knowledge of society's willingness to pay for improvements in these outcomes. Decision modelling did not support the hypothesis that changes to the provision of specialist services would generate savings for the NHS, with results suggesting that cost per 10-point improvement in CGAS score (improvement from one CGAS category to the next) varies little as the percentage of participants taking the specialist or generic pathway is varied.
<b>LIMITATIONS</b>: Follow-up rates were lower than expected, but the sample was still larger than has been achieved to date in RCTs carried out in this population in the UK, and an exploration of the impact of missing cost and outcome data produced very similar results to those of the main analyses.
<b>CONCLUSIONS</b>: The results of this study suggest that initial assessment in a specialist eating disorders service for young people with anorexia nervosa may have a higher probability of being cost-effective than initial assessment in generic CAMHS, although the associated uncertainty makes it hard to draw firm conclusions. Although costs and outcomes were similar, young people in specialist services were more severely ill at baseline, suggesting that specialist services were achieving larger clinical effectiveness gains without the need for additional expenditure. The results did not suggest that providing more specialist services would save money for the NHS, given similar costs and outcomes, so decisions about which service type to fund could be made with reference to other factors, such as the preferences of patients and carers.
<b>FUTURE WORK</b>: Data on measures of quality of life capable of generating quality-adjusted life-years are needed to confirm the cost-effectiveness of specialist services.
<b>TRIAL REGISTRATION</b>: Current Controlled Trials ISRCTN12676087.
<b>FUNDING</b>: This project was funded by the National Institute for Health Research (NIHR) Health Services and Delivery Research programme and will be published in full in Health Services and Delivery Research; Vol. 7, No. 37. See the NIHR Journals Library website for further project information."
J574,2019,Abstract 2415: Polygenic risk-tailored screening for prostate cancer: A costeffectiveness Analysis,"Background Screening for prostate cancer with prostate specific antigen (PSA) remains controversial. Risk-tailoring based on age and polygenic profile might conserve the benefits of PSA screening whilst reducing overdiagnosis. This study evaluates the cost-effectiveness and benefit-to-harm balance of polygenic risk-tailored screening for prostate cancer. Methods A life-table approach was used. A hypothetical cohort of 4.48 million men in England between the ages of 55 and 70 was followed to the age of 90. Three scenarios were compared: No screening, age-based screening (PSA testing every four years from 55 to 70), and risk-tailored screening based on age and polygenic risk profile (men above the risk threshold receive PSA testing four-yearly from the age they reach the risk threshold to 70). The number of prostate cancer cases, deaths from prostate cancer, overdiagnosed cases, life-years and quality-adjusted life-years (QALYs), incremental cost per QALY, and net monetary benefit were calculated. Sensitivity analyses investigated the impact of parameter uncertainty, and the impact of varying the risk threshold, on outcomes. Costs were estimated from the perspective of the UK National Health Service; both costs and benefits were discounted at 3.5%. Results The incremental cost per additional QALY for age-based screening compared to no screening was 58,254 ($75,899), with 27% simulations having an incremental cost-effectiveness ratio of less than 20,000 ($26,058), the threshold set by the UK National Institute for Health and Care Excellence for an intervention to be considered costeffective. In risk-tailored screening, as the 10-year absolute risk-threshold was progressively increased from 2.6%, equivalent to the 10-year absolute risk of a 55-year old man, to 7.1%, the corresponding risk of a 69-year old man, the cost per additional QALY gained reduced from 36,065 ($46,989) to 26,210 ($34,149), when compared to no screening. By comparison with age-based screening, risk-tailored screening with a threshold between 2.6% and 7.1% led to 8 (2.5%) and 45 (13%) fewer deaths prevented from prostate cancer per 10,000 men, with a 0.1% rise and 10% reduction in costs, respectively. Raising the risk threshold from 2.6% to 7.1% led to fewer men being screened (cumulative total of 35% of men screened by comparison with 83%), 53% fewer overdiagnosed cases, 22% fewer biopsies and 10% lower costs, at the expense of 10% fewer prostate cancer deaths averted. Conclusion Risk-tailored screening reduces the harms of screening for prostate cancer whilst preserving much of the mortality benefit. This study raises the prospect of risktailored population-based screening for prostate cancer; the precise risk-thresholds selected will depend on societal judgements regarding the appropriate trade-offs between harms and benefits."
J575,2019,Polygenic risk-tailored screening for prostate cancer: A benefit-harm and cost-effectiveness modelling study,"Background The United States Preventive Services Task Force supports individualised decision-making for prostate-specific antigen (PSA)-based screening in men aged 55-69. Knowing how the potential benefits and harms of screening vary by an individual's risk of developing prostate cancer could inform decision-making about screening at both an individual and population level. This modelling study examined the benefit-harm tradeoffs and the cost-effectiveness of a risk-tailored screening programme compared to age-based and no screening. Methods and findings A life-table model, projecting age-specific prostate cancer incidence and mortality, was developed of a hypothetical cohort of 4.48 million men in England aged 55 to 69 years with follow-up to age 90. Risk thresholds were based on age and polygenic profile. We compared no screening, age-based screening (quadrennial PSA testing from 55 to 69), and risk-tailored screening (men aged 55 to 69 years with a 10-year absolute risk greater than a threshold receive quadrennial PSA testing from the age they reach the risk threshold). The analysis was undertaken from the health service perspective, including direct costs borne by the health system for risk assessment, screening, diagnosis, and treatment. We used probabilistic sensitivity analyses to account for parameter uncertainty and discounted future costs and benefits at 3.5% per year. Our analysis should be considered cautiously in light of limitations related to our model's cohort-based structure and the uncertainty of input parameters in mathematical models. Compared to no screening over 35 years follow-up, age-based screening prevented the most deaths from prostate cancer (39,272, 95% uncertainty interval [UI]: 16,792-59,685) at the expense of 94,831 (95% UI: 84,827-105,630) overdiagnosed cancers. Age-based screening was the least cost-effective strategy studied. The greatest number of quality-adjusted life-years (QALYs) was generated by risk-based screening at a 10-year absolute risk threshold of 4%. At this threshold, risk-based screening led to one-third fewer overdiagnosed cancers (64,384, 95% UI: 57,382-72,050) but averted 6.3% fewer (9,695, 95% UI: 2,853-15,851) deaths from prostate cancer by comparison with age-based screening. Relative to no screening, risk-based screening at a 4% 10-year absolute risk threshold was cost-effective in 48.4% and 57.4% of the simulations at willingness-to-pay thresholds of GBP20,000 (US$26,000) and 30,000 ($39,386) per QALY, respectively. The cost-effectiveness of risk-tailored screening improved as the threshold rose. Conclusions Based on the results of this modelling study, offering screening to men at higher risk could potentially reduce overdiagnosis and improve the benefit-harm tradeoff and the cost-effectiveness of a prostate cancer screening program. The optimal threshold will depend on societal judgements of the appropriate balance of benefits-harms and cost-effectiveness. Copyright: ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Callender et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
J583,2019,Community pharmacy personnel interventions for smoking cessation,"- Background Community pharmacists could provide effective smoking cessation treatment because they offer easy access to members of the community. They are well placed to provide both advice on the correct use of smoking cessation products and behavioural support to aid smoking cessation. Objectives To assess the effectiveness of interventions delivered by community pharmacy personnel to assist people to stop smoking, with or without concurrent use of pharmacotherapy. Search methods We searched the Cochrane Tobacco Addiction Group Specialised Register, along with clinicaltrials.gov and the ICTRP, for smoking cessation studies conducted in a community pharmacy setting, using the search terms pharmacist* or pharmacy or pharmacies. Date of the most recent search: January 2019. Selection criteria Randomised controlled trials of interventions delivered by community pharmacy personnel to promote smoking cessation amongst their clients who were smokers, compared with usual pharmacy support or any less intensive programme. The main outcome measure was smoking cessation rates at six months or more after the start of the intervention. Data collection and analysis We used standard methodological procedures expected by Cochrane for study screening, data extraction and management. We conducted a metaÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âanalysis using a MantelÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚ÂHaenszel randomÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âeffects model to generate risk ratios (RRs) and 95% confidence intervals (CIs). Main results We identified seven studies including 1774 participants. We judged three studies to be at high risk of bias and four to be at unclear risk. Each study provided faceÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚ÂtoÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âface behavioural support delivered by pharmacy staff, and required pharmacy personnel training. Typically such programmes comprised support starting before quit day and continuing with weekly appointments for several weeks afterwards. Comparators were either minimal or less intensive behavioural support for smoking cessation, typically comprising a few minutes of oneÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âoff advice on how to quit. Participants in both intervention and control arms received equivalent smoking cessation pharmacotherapy in all but one study. All studies took place in highÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âincome countries, and recruited participants visiting pharmacies. We pooled six studies of 1614 participants and detected a benefit of more intensive behavioural smoking cessation interventions delivered by community pharmacy personnel compared with less intensive cessation interventions at longest followÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âup (RR 2.30, 95% CI 1.33 to 3.97; I 2 = 54%; lowÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence). Authors' conclusions Community pharmacists can provide effective behavioural support to people trying to stop smoking. However, this conclusion is based on lowÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âcertainty evidence, limited by risk of bias and imprecision. Further research could change this conclusion. Plain language summary Does quitÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âsmoking support delivered by community pharmacy staff help people to stop smoking? Background Tobacco smoking is the leading cause of preventable death and disease worldwide. Community pharmacists are respected healthcare professionals who provide easily accessible and convenient healthcare services to their communities, and they are well placed to provide their clients with help to quit smoking. Indeed, many governments recognise community pharmacies as a useful way of delivering many healthcare services. However, we need evidence that these services are effective before we develop them more widely. Study characteristics We searched for relevant studies in January 2019, and found seven studies including 1774 people. Three studies took place in the UK, and one each in Australia, United States, Qatar, and Italy. Each study provided faceÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚ÂtoÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âface behavioural support delivered by pharmacy staff, who received specific training. Studies compared the structured programme to less intensive support to stop smoking. Key results We found evidence that more intensive structured care given by community pharmacy staff probably helps more people to quit smoking than less intensive support to quit. Qualit of the evidence We found lowÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Âquality evidence that community pharmacy support helps people to quit smoking. Limitations of the evidence came from potential problems with the ways some of the studies were carried out and the low numbers of people who quit smoking across the included studies, which means we are not sure how effective these programmes really are."
J6212,2025,"Cost-effectiveness of BOOST online intervention for supported self-management of pain, fatigue and bowel incontinence in Inflammatory Bowel Disease","Background: People with IBD often experience symptoms of abdominal pain, fatigue and bowel incontinence that affect substantially their daily lives1 . IBD-BOOST is the first randomised controlled trial (RCT) assessing the effectiveness of an online self-management intervention, BOOST, in managing these symptoms in IBD2 . We report the cost-effectiveness of BOOST intervention compared to care as usual for people with IBD. Method(s): A cost-utility analysis was conducted alongside the pragmatic IBD-BOOST RCT of 780 patients requesting help for pain, fatigue or incontinence symptoms (mean age 49 years, 67% women, 55% with Crohn's disease)3 . The BOOST intervention costs and costs from patient-reported health service use, out-of-pocket expenses and time off work were calculated for each participant over the 12 months of follow-up. Qualityadjusted life-years (QALYs) over the 12 months were evaluated using the EQ-5D-5L questionnaires administered to participants at baseline, 6- and 12-months. Missing data (13% at 6 months and 38% at 12 months across the trial arms) was imputed using multiple imputation. Differences in total costs and QALYs between study arms were estimated using mixed effects models adjusting for pre-specified baseline factors. Incremental cost effectiveness ratios (ICERs) and net monetary benefit from UK healthcare and societal perspectives are reported. Result(s): At recruitment, study participants reported quality of life (EQ-5D utility) of 0.73 (SD 0.22) and overall IBD-related costs of 2321 (SD 3170) over the previous 3 months with cost of biologics accounting for 47% of these costs, followed by hospital outpatient services (22%) and work productivity loss costs (14%) (Figure 1). After missing data imputation and controlling for covariates, the BOOST intervention (151 per participant) was estimated to have led to health care cost savings of 746 (SE 356), other costs savings of 89 (SE 236) and incremental QALYs of 0.017 (SE 0.007) over the one-year follow-up per participant resulting in cost savings per QALY gained of 34,599 from the health services perspective and 39,745 from the societal perspective. The probability that the BOOST intervention was cost effective when compared with usual care was above 98% for willingness-to-pay thresholds of 20,000 to 30,000 from both health services and societal perspectives (Figure 2). Conclusion(s): Our findings indicate that the BOOST intervention for supported self-management of symptoms of pain, fatigue and bowel incontinence in people with IBD is cost-effective. (Figure Presented)."
J6213,2025,Can home-exercise programmes delivered via a handout format result in sufficient adherence among patients with musculoskeletal conditions/injuries? A systematic review,"Purpose: Musculoskeletal (MSK) conditions and injuries are a leading cause of disability globally, with the prevalence continuing to rise due to an increasing ageing population. This consequently increases the demands placed on health services to manage widespread physical disability to support those affected. In the UK, the NHS spends approximately 5bn a year treating MSK conditions, accounting for one of the largest areas of NHS expenditure and the biggest areas of workload. Home exercise programmes (HEPs) are a key component of evidence-based management of MSK conditions. However, effectiveness of treatment relies on patient adherence to these exercise programmes with the wider literature suggesting non-adherence rates may be as high as 70%. Adherence to physiotherapy interventions proves to be a complex issue and the reasons for poor adherence are shown to be multi-faceted. An avenue of exploration is the method of HEP delivery, which traditionally has been by verbal instruction often with a paper handout, although the use of digitised methods (e.g. smartphone Apps) are becoming more popular. Therefore, the purpose of this review was to understand if sufficient HEP adherence can be achieved when delivered via a printed format compared to alternate methods or physiotherapy interventions, specifically among adults treated for a MSK condition/injury. Method(s): This systematic review conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Six databases were searched from inception to April 2024: CINAHL, MEDLINE, Academic Search Complete, SPORTDiscus, PsycINFO and PubMed. Randomised clinical trials comparing HEPs delivered via paper handout versus alternate delivery methods or physiotherapy interventions, and the effect on adherence rates, were included. Methodological quality and certainty of evidence were assessed by one reviewer using the Cochrane RoB2 tool and modified GRADE approach, respectively. Result(s): Fifteen studies were included for review, categorised based on the type of intervention compared to paper handout, e.g., smart-device Apps/other digitised methods, supervised exercise, SMS/phone reminders. The findings suggest that while the use of paper handouts is superior to verbal instruction alone, Apps with more extensive functionalities, such as, remote monitoring, self-recording abilities and reminder notifications may promote even greater HEP adherence rates. However, studies were either of 'some concern' or 'high' risk of bias, and the overall quality (certainty) of evidence was determined to be 'low', meaning the ability to draw firm conclusions and recommendations is limited. Conclusion(s): Apps may potentially facilitate better adherence rates, but further high-quality research is required to firmly recommend a HEP delivery method. Clinicians should tailor their approaches specific to patients' needs and profiles, gaining an understanding of their patients' previous experiences, expectations and self-efficacy. Impact: The project highlights the need for more high-quality research in this important area of exercise therapy adherence. Methods of improving the currently poor adherence rates need to be established. Cost-effectiveness of such methods should also be researched prior to any widespread implementation. Facilitating better patient adherence with home-exercise treatment can lead to improved patient outcomes and self-management, which in turn can reduce healthcare provider burden and expenditure. Funding acknowledgements: No funding required. Work not funded. Keywords: Home-exercise, Adherence, Musculoskeletal conditions Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2025"
J6224,2025,Randomised controlled trial testing clinical and cost-effectiveness of the Live Well self-management toolkit for people with Parkinson's and their carers,"Background: Self-management interventions provide information and tools to people with long-term conditions to help them manage their own condition. They have been shown to improve patient outcomes and reduce healthcare utilisation. Whilst charities and healthcare providers offer information and advice, there is no effective comprehensive self-management intervention available for people in the UK living with Parkinson's. Through co-design with people with Parkinson's, carers and healthcare professionals, systematic reviews, and qualitative studies, we developed the self-management Live Well with Parkinson's toolkit, facilitated by trained supporters. The toolkit contains information about symptoms, therapies, ways to optimise wellbeing, and practical advice. There are personalised sections covering information about themselves, their health and support, a calendar, to do lists, the ability to review and track symptoms, and an asset-based wellbeing section to identify health priorities they wanted to maintain. Method(s): This toolkit was tested in a single-blind randomised controlled trial in England. Participants were community-dwelling individuals, with a diagnosis of Parkinson's and randomised 1:1 to receive the Live Well with Parkinson's toolkit or treatment as usual. The primary outcome was health-related quality of life (PDQ-39) at 12 months with a range of secondary outcome measures. Outcomes are being analysed using linear mixed models, controlling for baseline scores. Result(s): We recruited 346 participants between January 2022-July 2023 with a median age 71 years (IQR 11.25),159 (46%) women, and 297 (86%) White British. Data collection was completed in August 2024 with a retention rate of 88% at 12-month follow-up. The process evaluation revealed highly positive feedback. Clinical and cost-effectiveness analysis will be available for presentation at the conference, including primary and secondary outcomes. Conclusion(s): The outcomes of this programme will inform the effectiveness of this intervention, as well as the effective components, mechanisms, and future developments to improve quality of life for people with Parkinson's when using self-management tools. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2025"
