id,Year,Title,Abstract,include_stage4,reason_stage4,cash_release_flags,confidence_stage4
J545,2019,"Estimating the cost-effectiveness of salt reformulation and increasing access to leisure centres in England, with PRIMEtime CE model validation using the AdViSHE tool","BACKGROUND: PRIMEtime CE is a multistate life table model that can directly compare the cost effectiveness of public health interventions affecting diet and physical activity levels, helping to inform decisions about how to spend finite resources. This paper estimates the costs and health outcomes in England of two scenarios: reformulating salt and expanding subsidised access to leisure centres. The results are used to help validate PRIMEtime CE, following the steps outlined in the Assessment of the Validation Status of Health-Economic decision models (AdViSHE) tool. METHOD(S): The PRIMEtime CE model estimates the difference in quality adjusted life years (QALYs) and difference in NHS and social care costs of modelled interventions compared with doing nothing. The salt reformulation scenario models how salt consumption would change if food producers met the 2017 UK Food Standards Agency salt reformulation targets. The leisure centre scenario models change in physical activity levels if the Birmingham Be Active scheme (where swimming pools and gym access is free to residents during defined periods) was rolled out across England. The AdViSHE tool was developed by health economic modellers and divides model validation into five parts: validation of the conceptual model, input data validation, validation of computerised model, operational validation, and other validation techniques. PRIMEtime CE is discussed in relation to each part. RESULT(S): Salt reformulation was dominant compared with doing nothing, and had a 10-year return on investment of 1.44 (0.50 to 2.94) for every 1 spent. By contrast, over 10 years the Be Active expansion would cost 727,000 (514,000 to 1,064,000) per QALY. PRIMEtime CE has good face validity of its conceptual model and has robust input data. Cross-validation produces mixed results and shows the impact of model scope, input parameters, and model structure on cost-per-QALY estimates. CONCLUSION(S): This paper illustrates how PRIMEtime CE can be used to compare the cost-effectiveness of two different public health measures affecting diet and physical activity levels. The AdViSHE tool helps to validate PRIMEtime CE, identifies some of the key drivers of model estimates, and highlights the challenges of externally validating public health economic models against independent data.",False,"Focuses on cost-effectiveness, not explicit budget reduction.",has_baseline_and_counterfactual; no_cost_shift_or_harm,0.9
J546,2019,"Individualised screening for diabetic retinopathy: The ISDR study - Rationale, design and methodology for a randomised controlled trial comparing annual and individualised risk-based variable-interval screening","Introduction Currently, all people with diabetes (PWD) aged 12 years and over in the UK are invited for screening for diabetic retinopathy (DR) annually. Resources are not increasing despite a 5% increase in the numbers of PWD nationwide each year. We describe the rationale, design and methodology for a randomised controlled trial (RCT) evaluating the safety, acceptability and cost-effectiveness of personalised variable-interval risk-based screening for DR. This is the first randomised trial of personalised screening for DR and the largest ophthalmic RCT in the UK. Methods and analysis PWD attending seven screening clinics in the Liverpool Diabetic Eye Screening Programme were recruited into a single site RCT with a 1:1 allocation to individualised risk-based variable-interval or annual screening intervals. A risk calculation engine developed for the trial estimates the probability that an individual will develop referable disease (screen positive DR) within the next 6, 12 or 24 months using demographic, retinopathy and systemic risk factor data from primary care and screening programme records. Dynamic, secure, real-time data connections have been developed. The primary outcome is attendance for follow-up screening. We will test for equivalence in attendance rates between the two arms. Secondary outcomes are rates and severity of DR, visual outcomes, cost-effectiveness and health-related quality of life. The required sample size was 4460 PWD. Recruitment is complete, and the trial is in follow-up. Ethics and dissemination Ethical approval was obtained from National Research Ethics Service Committee North West - Preston, reference 14/NW/0034. Results will be presented at international meetings and published in peer-reviewed journals. This pragmatic RCT will inform screening policy in the UK and elsewhere. Trial registration number ISRCTN87561257; Pre-results. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 BMJ Publishing Group Limited.",False,"Focus on cost-effectiveness, not explicit budget reduction.",,0.8
J547,2019,"Individualised screening for diabetic retinopathy: The ISDR study-a randomised controlled trial of safety, efficacy, and cost-effectiveness","Background: Varying the intervals in retinopathy screening informed by personal risk offers reallocation of resources to better target high risk groups and address the increasing prevalence of diabetes. However, safety data especially on extended intervals is minimal. Aim(s): To evaluate the safety, efficacy and cost effectiveness (CE) of individualized variable-interval risk-based screening in a population setting compared to usual care. Method(s): Masked 2 arm, parallel assignment, equivalence RCT (largest to date in screening) with independent trials unit monitoring in people with diabetes aged >=12 years attending screening in a single English program. Randomization was 1:1 to individualized screening (active group; 6, 12 or 24 months for high, medium and low risk) determined by a risk calculation engine using real-time local demographic, retinal and clinical data, compared with annual screening (control). CE analysis measuring NHS and societal costs took a 2-year time horizon. Finding(s): 4534 participants entered the study-after withdrawals/loss to follow-up: active 2097; control 2224. Attendance rates at first follow-up visit (primary outcome, safety) were equivalent (per protocol analysis, 5% margin): active 83.6% control 84.7% (difference 1.0, 90% CI-0.8, 2.9). STDR detection rates were non-inferior (1.5% margin): active 1.43% control 1.71% (difference-0.28, CI-0.93, 0.36). Quality of life (EQ5D5L, HUI3) was not significantly different between the groups. Incremental cost saving per person was 18.75 (NHS cost) rising to 49.96 with societal costs. A 39.3% reduction in number of appointments was seen. Conclusion(s): All parties involved in diabetes care can be reassured that extended and personalized screening intervals can safely be introduced in established screening program. Scale-up with further validation outside a research setting is recommended. Views expressed are solely those of the authors.",False,Cost savings mentioned but no explicit budget reduction or cash-releasing mechanism.,no_cost_shift_or_harm,0.8
J554,2019,Early supported discharge for patients with febrile neutropenia - experience at a large district hospital in the UK,"Neutropenic sepsis can be life threatening, with mortality 2-21%. The heterogeneity of patients referred with suspected neutropenic sepsis"" has led to strategies being developed to risk-stratify patients and identify those with a low risk of septic complications that could be managed in the outpatient setting, such as The Multinational Association for Supportive Care in Cancer score (MASCC). Outcomes for patients referred with suspected neutropenic sepsis were assessed before and after use of MASCC guided early-supported discharge. 50/123 (41%) patients over 24 months were eligible for early-supported discharge. 26/50 patients had same-day discharge, 14 had overnight admission, 8 stayed 2 nights and 2 stayed 3 nights. Patients received on average 2 follow-up telephone consultations. There were 5 readmissions (10%) and no adverse events. In comparison group; 8 patients over 3-months would have been suitable, potentially saving 40 bed-days. This shows MASCC guided early-supported discharge is safe and cost-effective. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Rila Publications Ltd.""",False,Mentions cost-effectiveness but no explicit budget reduction or cash-releasing terms.,no_cost_shift_or_harm,0.8
J563,2019,Protocol for a cluster randomised control trial evaluating the efficacy and safety of treatment for latent tuberculosis infection in recent migrants within primary care: the CATAPuLT trial,"BACKGROUND: The identification and treatment of LTBI is a key component of the WHO's strategy to eliminate TB. Recent migrants from high TB-incidence countries are recognised to be at risk TB reactivation, and many high-income countries have focused on LTBI screening and treatment programmes for this group. However, migrants are the group least likely to complete the LTBI cascade-of-care. This pragmatic cluster-randomised, parallel group, superiority trial investigates whether a model of care based entirely within a community setting (primary care) will improve treatment completion compared with treatment in specialist TB services (secondary care). METHOD(S): The CATAPuLT trial (Completion and Acceptability of Treatment Across Primary Care and the community for Latent Tuberculosis) randomised 34 general practices in London, England, to evaluate the efficacy and safety of treatment for LBTI in recent migrants within primary care. GP practices were randomised to either provide management for LTBI entirely within primary care (GPs and community pharmacists) or to refer patients to secondary care. The target recruitment number for individuals is 576. The primary outcome is treatment completion (defined as taking at least 90% of antibiotic doses). The secondary outcomes assess adherence, acceptance of treatment, the incidence of adverse effects including drug-induced liver injury, the rates of active TB, patient satisfaction and cost-effectiveness of LTBI treatment. This protocol adheres to the SPIRIT Checklist. DISCUSSION(S): The CATAPuLT trial seeks to provide implementation research evidence for a patient-centred intervention to improve treatment completion for LTBI amongst recent migrants to the UK. TRIAL REGISTRATION: NCT03069807, March 2017, registered retrospectively.",False,"Focuses on treatment completion and safety, not budget reduction.",,0.9
J571,2019,Alternative community-based models of care for young people with anorexia nervosa: the CostED national surveillance study,"<b>BACKGROUND</b>: Evidence suggests that investing in specialist eating disorders services for young people with anorexia nervosa could have important implications for the NHS, with the potential to improve health outcomes and reduce costs through reductions in the number and length of hospital admissions.
<b>OBJECTIVES</b>: The primary objectives were to evaluate the costs and cost-effectiveness of alternative community-based models of service provision for young people with anorexia nervosa and to model the impact of potential changes to the provision of specialist services.
<b>DESIGN</b>: Observational surveillance study using the Child and Adolescent Psychiatry Surveillance System.
<b>SETTING</b>: Community-based secondary or tertiary child and adolescent mental health services (CAMHS) in the UK and the Republic of Ireland.
<b>PARTICIPANTS</b>: A total of 298 young people aged 8-17 years in contact with CAMHS for a first episode of anorexia nervosa in accordance with Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, diagnostic criteria.
<b>INTERVENTIONS</b>: Community-based specialist eating disorders services and generic CAMHS.
<b>MAIN OUTCOME MEASURES</b>: Children's Global Assessment Scale (CGAS) score (primary outcome) and percentage of median expected body mass index (BMI) for age and sex (%mBMI) (secondary outcome) were assessed at baseline and at 6 and 12 months.
<b>DATA SOURCES</b>: Data were collected by clinicians from clinical records.
<b>RESULTS</b>: Total costs incurred by young people initially assessed in specialist eating disorders services were not significantly different from those incurred by young people initially assessed in generic CAMHS. However, adjustment for baseline covariates resulted in observed differences favouring specialist services (costs were lower, on average) because of the significantly poorer clinical status of the specialist group at baseline. At the 6-month follow-up, mean %mBMI was significantly higher in the specialist group, but no other significant differences in outcomes were evident. Cost-effectiveness analyses suggest that initial assessment in a specialist service has a higher probability of being cost-effective than initial assessment in generic CAMHS, as determined by CGAS score and %mBMI. However, no firm conclusion can be drawn without knowledge of society's willingness to pay for improvements in these outcomes. Decision modelling did not support the hypothesis that changes to the provision of specialist services would generate savings for the NHS, with results suggesting that cost per 10-point improvement in CGAS score (improvement from one CGAS category to the next) varies little as the percentage of participants taking the specialist or generic pathway is varied.
<b>LIMITATIONS</b>: Follow-up rates were lower than expected, but the sample was still larger than has been achieved to date in RCTs carried out in this population in the UK, and an exploration of the impact of missing cost and outcome data produced very similar results to those of the main analyses.
<b>CONCLUSIONS</b>: The results of this study suggest that initial assessment in a specialist eating disorders service for young people with anorexia nervosa may have a higher probability of being cost-effective than initial assessment in generic CAMHS, although the associated uncertainty makes it hard to draw firm conclusions. Although costs and outcomes were similar, young people in specialist services were more severely ill at baseline, suggesting that specialist services were achieving larger clinical effectiveness gains without the need for additional expenditure. The results did not suggest that providing more specialist services would save money for the NHS, given similar costs and outcomes, so decisions about which service type to fund could be made with reference to other factors, such as the preferences of patients and carers.
<b>FUTURE WORK</b>: Data on measures of quality of life capable of generating quality-adjusted life-years are needed to confirm the cost-effectiveness of specialist services.
<b>TRIAL REGISTRATION</b>: Current Controlled Trials ISRCTN12676087.
<b>FUNDING</b>: This project was funded by the National Institute for Health Research (NIHR) Health Services and Delivery Research programme and will be published in full in Health Services and Delivery Research; Vol. 7, No. 37. See the NIHR Journals Library website for further project information.",False,No explicit budget reduction or cash-releasing phrases; similar costs and outcomes.,has_baseline_and_counterfactual; no_cost_shift_or_harm,0.9
J573,2019,Protocol for a pragmatic cluster randomised controlled trial assessing the clinical effectiveness and cost effectiveness of electronic risk-assessment tools for cancer for patients in general practice (ERICA),"Introduction: Compared with other developed countries, the UK has poorer cancer outcomes. Early cancer diagnosis within general practice has the potential to facilitate improvements. Paper and mouse mat Risk Assessment Tools (RATs) for 18 cancers have been developed to support GPs in identifying cancer. The RATs give precise estimates of the risk of an underlying cancer based on a single symptom or combination of symptoms. Some of the RATs have been converted into electronic versions (eRATs) and embedded into GPs' clinical systems, delivering an automated prompt to consider the possibility of cancer when a patient has at least a 2% risk of cancer. Early pilot work suggests that the eRATs are acceptable to GPs. There is no evidence to date of their clinical- or cost-effectiveness. Method(s): A pragmatic, cluster RCT with 530 practices across England randomised 1:1 to receive either the intervention (access to the eRATs medical device including: lung, oesophago-gastric, kidney, bladder, ovarian, colorectal) or usual practice. There will also be embedded process and health economics evaluations along with a parallel study modelling the impact of eRATs on NHS service delivery. Clinical outcomes will be observed in routinely collected data exported from the cancer registry. The primary outcome will be the proportion of the combined six cancers diagnosed during a 2-year follow-up that were at Stage 1/2 (early - cure likely) versus Stage 3/4 (late - cure not likely) at the time of diagnosis. Ethics approval and trial registration will be sought in the early spring 2019. Practice recruitment is planned to launch in summer 2019 and close in winter 2019. Result(s): Results will be available from winter 2023. Discussion(s): The results of the RCT will provide a definitive assessment of the clinical- and cost-effectiveness of the six eRATs being studied and report their impact on patient care.",False,No explicit budget reduction or cash-releasing benefits mentioned.,,0.9
J574,2019,Abstract 2415: Polygenic risk-tailored screening for prostate cancer: A costeffectiveness Analysis,"Background Screening for prostate cancer with prostate specific antigen (PSA) remains controversial. Risk-tailoring based on age and polygenic profile might conserve the benefits of PSA screening whilst reducing overdiagnosis. This study evaluates the cost-effectiveness and benefit-to-harm balance of polygenic risk-tailored screening for prostate cancer. Methods A life-table approach was used. A hypothetical cohort of 4.48 million men in England between the ages of 55 and 70 was followed to the age of 90. Three scenarios were compared: No screening, age-based screening (PSA testing every four years from 55 to 70), and risk-tailored screening based on age and polygenic risk profile (men above the risk threshold receive PSA testing four-yearly from the age they reach the risk threshold to 70). The number of prostate cancer cases, deaths from prostate cancer, overdiagnosed cases, life-years and quality-adjusted life-years (QALYs), incremental cost per QALY, and net monetary benefit were calculated. Sensitivity analyses investigated the impact of parameter uncertainty, and the impact of varying the risk threshold, on outcomes. Costs were estimated from the perspective of the UK National Health Service; both costs and benefits were discounted at 3.5%. Results The incremental cost per additional QALY for age-based screening compared to no screening was 58,254 ($75,899), with 27% simulations having an incremental cost-effectiveness ratio of less than 20,000 ($26,058), the threshold set by the UK National Institute for Health and Care Excellence for an intervention to be considered costeffective. In risk-tailored screening, as the 10-year absolute risk-threshold was progressively increased from 2.6%, equivalent to the 10-year absolute risk of a 55-year old man, to 7.1%, the corresponding risk of a 69-year old man, the cost per additional QALY gained reduced from 36,065 ($46,989) to 26,210 ($34,149), when compared to no screening. By comparison with age-based screening, risk-tailored screening with a threshold between 2.6% and 7.1% led to 8 (2.5%) and 45 (13%) fewer deaths prevented from prostate cancer per 10,000 men, with a 0.1% rise and 10% reduction in costs, respectively. Raising the risk threshold from 2.6% to 7.1% led to fewer men being screened (cumulative total of 35% of men screened by comparison with 83%), 53% fewer overdiagnosed cases, 22% fewer biopsies and 10% lower costs, at the expense of 10% fewer prostate cancer deaths averted. Conclusion Risk-tailored screening reduces the harms of screening for prostate cancer whilst preserving much of the mortality benefit. This study raises the prospect of risktailored population-based screening for prostate cancer; the precise risk-thresholds selected will depend on societal judgements regarding the appropriate trade-offs between harms and benefits.",False,"Focus on cost-effectiveness, not explicit budget reduction.",has_baseline_and_counterfactual,0.8
J575,2019,Polygenic risk-tailored screening for prostate cancer: A benefit-harm and cost-effectiveness modelling study,"Background The United States Preventive Services Task Force supports individualised decision-making for prostate-specific antigen (PSA)-based screening in men aged 55-69. Knowing how the potential benefits and harms of screening vary by an individual's risk of developing prostate cancer could inform decision-making about screening at both an individual and population level. This modelling study examined the benefit-harm tradeoffs and the cost-effectiveness of a risk-tailored screening programme compared to age-based and no screening. Methods and findings A life-table model, projecting age-specific prostate cancer incidence and mortality, was developed of a hypothetical cohort of 4.48 million men in England aged 55 to 69 years with follow-up to age 90. Risk thresholds were based on age and polygenic profile. We compared no screening, age-based screening (quadrennial PSA testing from 55 to 69), and risk-tailored screening (men aged 55 to 69 years with a 10-year absolute risk greater than a threshold receive quadrennial PSA testing from the age they reach the risk threshold). The analysis was undertaken from the health service perspective, including direct costs borne by the health system for risk assessment, screening, diagnosis, and treatment. We used probabilistic sensitivity analyses to account for parameter uncertainty and discounted future costs and benefits at 3.5% per year. Our analysis should be considered cautiously in light of limitations related to our model's cohort-based structure and the uncertainty of input parameters in mathematical models. Compared to no screening over 35 years follow-up, age-based screening prevented the most deaths from prostate cancer (39,272, 95% uncertainty interval [UI]: 16,792-59,685) at the expense of 94,831 (95% UI: 84,827-105,630) overdiagnosed cancers. Age-based screening was the least cost-effective strategy studied. The greatest number of quality-adjusted life-years (QALYs) was generated by risk-based screening at a 10-year absolute risk threshold of 4%. At this threshold, risk-based screening led to one-third fewer overdiagnosed cancers (64,384, 95% UI: 57,382-72,050) but averted 6.3% fewer (9,695, 95% UI: 2,853-15,851) deaths from prostate cancer by comparison with age-based screening. Relative to no screening, risk-based screening at a 4% 10-year absolute risk threshold was cost-effective in 48.4% and 57.4% of the simulations at willingness-to-pay thresholds of GBP20,000 (US$26,000) and 30,000 ($39,386) per QALY, respectively. The cost-effectiveness of risk-tailored screening improved as the threshold rose. Conclusions Based on the results of this modelling study, offering screening to men at higher risk could potentially reduce overdiagnosis and improve the benefit-harm tradeoff and the cost-effectiveness of a prostate cancer screening program. The optimal threshold will depend on societal judgements of the appropriate balance of benefits-harms and cost-effectiveness. Copyright: ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© 2019 Callender et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",False,"Focus on cost-effectiveness, not explicit budget reduction.",has_baseline_and_counterfactual,0.8
J576,2019,Pragmatic cluster randomised cohort cross-over trial to determine the effectiveness of bridging from emergency to regular contraception: The Bridge-It study protocol,"Introduction Oral emergency contraception (EC) can prevent unintended pregnancy but it is important to start a regular method of contraception. Women in the UK usually access EC from a pharmacy but then need a subsequent appointment with a general practitioner or a sexual and reproductive health (SRH) service to access regular contraception. Unintended pregnancies can occur during this time. Methods and analysis Bridge-It is a pragmatic cluster randomised cohort cross-over trial designed to determine whether pharmacist provision of a bridging supply of a progestogen-only pill (POP) plus rapid access to a local SRH clinic, results in increased uptake of effective contraception and prevents more unintended pregnancies than provision of EC alone. Bridge-It involves 31 pharmacies in three UK regions (London, Lothian and Tayside) aiming to recruit 626-737 women. Pharmacies will give EC (levonorgestrel) according to normal practice and recruit women to both intervention and the control phases of the study. In the intervention phase, pharmacists will provide the POP (desogestrel) and offer rapid access to an SRH clinic. In the control phase, pharmacists will advise women to attend a contraceptive provider for contraception (standard care). Women will be asked 4 months later about contraceptive use. Data linkage to abortion registries will provide abortion rates over 12 months. The sample size is calculated on the primary outcome of effective contraception use at 4 months (yes/no) with 90% power and a 5% level of significance. Abortion rates will be an exploratory secondary analysis. Process evaluation includes interviews with pharmacists, SRH clinicians and women. Cost-effectiveness analysis will use a healthcare system perspective and be expressed as incremental cost-effectiveness ratio. Ethics and dissemination Ethical approval was received from South East Scotland REC June 2017. Results will be published in peer-reviewed journals and conference presentations. Trial registration number ISRCTN70616901. Copyright ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â© Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY. Published by BMJ.",False,"Focus on effectiveness and cost-effectiveness, not direct budget reduction.",no_cost_shift_or_harm,0.9
